id,instructor_id,student_id,grad_date,grade
1,83C5589D-44B7-587C-AF68-50F3BD12EF28,71A67367-D999-424B-C8FB-4DCA2326300C,2017-01-01,D+
2,2C50CDC7-1AAC-2C83-5786-1B7643EBB47E,E5B507E8-B537-8DBD-C952-5A5F96CC8F78,2021-04-27,D-
3,ABAC3A56-4A9C-F8D1-91E4-46481B939228,E8634804-8BB2-6724-B945-5C3B14A39522,2017-10-17,F
4,4D954573-D9C7-01E7-EAEC-8EAE910FB29E,3B4348D1-5BC3-D9CA-F6B5-FC1890113689,2017-10-05,D
5,428A3368-2033-E471-3DBB-E5E39FA22164,F476AE58-B31B-F23B-D496-44B2720ECD95,2019-07-08,B-
6,83C5589D-44B7-587C-AF68-50F3BD12EF28,1821B6D0-A774-7BA2-722E-9BBBD3C2F616,2020-10-13,D
7,E1E8D645-7474-2073-13A6-148E846F8719,0A5576AE-9E38-5333-EABE-7E8DE0F3ACD3,2019-12-18,C+
8,ABAC3A56-4A9C-F8D1-91E4-46481B939228,3B4348D1-5BC3-D9CA-F6B5-FC1890113689,2017-10-20,C-
9,233A3393-AF24-F522-DF5F-C0DAFE8B391B,32E3E2B8-51A0-DC37-79D0-7859D6A9E2CD,2020-07-23,A+
10,4D954573-D9C7-01E7-EAEC-8EAE910FB29E,B3D42A8B-D2F5-4DF2-6029-84BB71DEBDCD,2020-12-12,B-
11,99B28EF4-D47A-FD3D-0298-5D783BDC2C3F,594D3241-EA64-53BA-737C-A26ACA4DED65,2021-01-04,A
12,ABAC3A56-4A9C-F8D1-91E4-46481B939228,53121C3E-FCB8-CB44-7381-BE13D95D5B58,2017-07-12,A
13,3AA1182C-ABD1-ABF6-36A9-5833DD3375A9,8515B6DA-F7CA-E866-7DD3-95CA6DA54333,2019-03-06,F
14,DF643763-AD6D-DD37-14BA-3726E2C4A2B7,0537C921-ED1D-D912-3BA0-C4030BAFB338,2018-01-20,D-
15,860AC510-9AEE-6EEC-EA56-84646D575447,C1414124-1E2F-AB55-AEB7-E93DF04DC429,2020-04-11,C
