id,instructor_id,student_id,grad_date,grade
1,DF643763-AD6D-DD37-14BA-3726E2C4A2B7,818965AF-17F4-795D-0062-D0E942F14F44,2021-01-27,D
2,4DC3EBE9-9273-D5C6-4EFE-979A6A39FD36,9B1B7101-C5C8-1EE3-88B8-DA09A8436B25,2020-01-24,D+
3,AB538452-2535-AD05-F812-CAAEDB63DC4F,E2C5106C-5831-E118-63C9-887C336CEC29,2018-08-29,A
4,1ECDE44C-FA80-B1B7-55B3-AC6BB57DC5B2,3EF8EC1C-AB16-C6AF-8FBB-341067AF272D,2018-10-27,C+
5,2C50CDC7-1AAC-2C83-5786-1B7643EBB47E,14341DD4-C485-5E2B-62C8-CB0AE3051BB1,2017-06-02,F
6,91851D1A-1CB9-1F92-0D58-EA3EAAE4AE8E,1821B6D0-A774-7BA2-722E-9BBBD3C2F616,2016-12-20,F
7,4D954573-D9C7-01E7-EAEC-8EAE910FB29E,A4A5AA24-2D73-42B6-7814-448DA013D2C3,2018-09-15,D
8,91851D1A-1CB9-1F92-0D58-EA3EAAE4AE8E,2833FA62-825B-36D5-CA12-348336C9304C,2020-04-21,C
9,68C594E3-83A0-EACD-C681-576994EB041E,8063871B-B7CD-C6C0-A5AA-C04F8C584EBD,2021-06-30,A
10,68C594E3-83A0-EACD-C681-576994EB041E,82E865EB-4FC4-B675-35A6-181DC9D39B02,2018-02-07,C
11,FBA41AB5-BD23-5D83-8D6E-B64AED8C315E,A4A5AA24-2D73-42B6-7814-448DA013D2C3,2017-03-18,B
12,251531CB-F77F-D1A2-5414-F7C14CC89CF8,BC958A2C-5384-8F5E-DD4E-BA3021B777BB,2018-09-18,A+
13,68C594E3-83A0-EACD-C681-576994EB041E,4ECAEDB6-B2F6-C77C-2785-C3E107AD2B1D,2019-06-12,B
14,428A3368-2033-E471-3DBB-E5E39FA22164,8D8258D9-BDB8-7AEA-2EEE-9EE9919DA168,2020-06-17,C
15,A2EB3077-9B68-97D4-9963-9B3462E9C35B,41858618-9C5E-E132-D4E4-EE8B72DAB4C7,2018-10-02,C+
16,A2EB3077-9B68-97D4-9963-9B3462E9C35B,54673C31-10D3-D39A-2DA8-9C1CC428B867,2021-02-22,D-
17,418D4CDD-A4ED-5EF2-1134-CECF969C45E9,86D7FB64-762E-54A4-79E9-725B53D67D8B,2021-09-04,A-
18,C253E446-2877-1E28-815B-37104CCCEEF5,29C79886-AF6D-A9E2-D54F-84633DBB998A,2019-12-29,D+
19,251531CB-F77F-D1A2-5414-F7C14CC89CF8,F6409391-E2BC-2B05-AE39-E51788465686,2021-07-15,C
20,07DD54FC-B7B3-1585-C120-F9E41BB353D8,3B4348D1-5BC3-D9CA-F6B5-FC1890113689,2019-04-16,A-
21,860AC510-9AEE-6EEC-EA56-84646D575447,9A1E59F5-E11C-DDBA-7247-5912C8A786A5,2020-09-29,C-
